iter	Passed	Remaining
412	4047	5753
413	4062	5750
414	4071	5738
415	4074	5720
416	4078	5701
417	4089	5694
418	4093	5676
419	4104	5668
420	4107	5649
421	4118	5640
422	4121	5622
423	4125	5604
424	4134	5594
425	4141	5580
426	4147	5566
427	4157	5556
428	4166	5545
429	4179	5539
430	4182	5521
431	4188	5506
432	4196	5494
433	4200	5477
434	4205	5461
435	4211	5447
436	4214	5429
437	4225	5421
438	4228	5403
439	4232	5386
440	4242	5377
441	4246	5360
442	4253	5348
443	4258	5332
444	4262	5315
445	4277	5313
446	4291	5309
447	4294	5291
448	4357	5347
449	4372	5344
450	4386	5339
451	4403	5338
452	4417	5334
453	4436	5334
454	4449	5330
455	4455	5315
456	4465	5305
457	4474	5294
458	4482	5282
459	4488	5268
460	4499	5260
461	4503	5243
462	4514	5235
463	4517	5218
464	4527	5209
465	4530	5192
466	4552	5195
467	4570	5195
468	4583	5188
469	4587	5172
470	4593	5158
471	4604	5150
472	4608	5134
473	4618	5125
474	4621	5108
475	4642	5110
476	4655	5104
477	4659	5088
478	4666	5075
479	4676	5066
480	4688	5058
481	4692	5042
482	4701	5032
483	4706	5017
484	4727	5019
485	4744	5018
486	4751	5004
487	4777	5011
488	4782	4997
489	4788	4983
490	4817	4994
491	4834	4991
492	4880	5019
493	4915	5034
494	4928	5028
495	4936	5015
496	4941	5000
497	4961	5001
498	4973	4993
499	4978	4978
500	5000	4980
501	5026	4986
502	5055	4995
503	5070	4989
504	5082	4981
505	5088	4967
506	5092	4951
507	5100	4940
508	5107	4927
509	5117	4916
510	5135	4914
511	5180	4937
512	5194	4930
513	5198	4915
514	5214	4911
515	5228	4903
516	5231	4887
517	5275	4908
518	5290	4903
519	5307	4898
520	5310	4882
521	5321	4872
522	5326	4858
523	5335	4847
524	5375	4863
525	5388	4856
526	5407	4853
527	5424	4848
528	5428	4833
529	5442	4826
530	5454	4817
531	5457	4801
532	5461	4784
533	5467	4771
534	5471	4755
535	5486	4749
536	5495	4738
537	5503	4725
538	5513	4715
539	5530	4710
540	5540	4700
541	5546	4686
542	5551	4671
543	5558	4659
544	5562	4643
545	5566	4628
546	5579	4620
547	5585	4606
548	5592	4594
549	5604	4585
550	5610	4571
551	5625	4565
552	5638	4557
553	5643	4543
554	5657	4536
555	5671	4528
556	5700	4533
557	5718	4529
558	5734	4524
559	5750	4517
560	5755	4504
561	5765	4493
562	5771	4479
563	5777	4466
564	5790	4458
565	5800	4447
566	5832	4454
567	5861	4458
568	5914	4480
569	5926	4470
570	5931	4456
571	5947	4450
572	5964	4444
573	6051	4491
574	6065	4483
575	6079	4475
576	6110	4479
577	6121	4469
578	6130	4457
579	6143	4448
580	6148	4433
581	6161	4425
582	6173	4415
583	6177	4400
584	6195	4395
